Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Crazy Little Thing Called Love	Queen	Freddie Mercury	The Platinum Collection (Greatest Hits I, II & III)						Rock	6257700	164	1	3	9	17	1980	3/7/2019 8:55 PM	3/12/2019 8:59 PM	256	44100		Apple Music AAC audio file			3	3/9/2019 10:29 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\The Platinum Collection (Greatest Hits I\1-09 Crazy Little Thing Called Love.m4p
Higher Ground (Remaster 2003)	Red Hot Chili Peppers	Stevie Wonder	Mother's Milk						Alternative	8135482	201	1	1	2	13	1989	2/28/2019 9:07 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			1	3/9/2019 4:12 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Red Hot Chili Peppers\Mother's Milk\02 Higher Ground (Remaster 2003).m4p
Rag Doll	Aerosmith	Steven Tyler, Joseph Perry, Jim Vallance & Holly Knight	Big Ones						Rock	9795594	264	1	1	3	15	1987	3/5/2019 8:55 AM	4/5/2018 1:08 AM	256	44100		Apple Music AAC audio file			9	3/11/2019 11:37 AM	6	2/26/2019 12:57 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Big Ones\03 Rag Doll.m4p
Burning Down the House	Talking Heads	Chris Frantz, David Byrne, Jerry Harrison & Tina Weymouth	Speaking In Tongues						Pop	8965307	243	1	1	1	9	1983	2/28/2019 9:07 PM	3/23/2018 10:03 PM	256	44100		Apple Music AAC audio file			5	3/9/2019 11:58 AM	6	3/11/2019 11:37 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Talking Heads\Speaking In Tongues\01 Burning Down the House.m4p
Modern Love	David Bowie	David Bowie	Let's Dance						Rock	10781841	288	1	1	1	8	1983	2/28/2019 9:07 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			1	3/9/2019 5:35 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\David Bowie\Let's Dance\01 Modern Love.m4p
Every Breath You Take	The Police	Sting	The Very Best of Sting & The Police						Rock	8687629	251	1	1	4	18	1983	3/11/2019 7:19 AM	4/4/2018 10:39 AM	256	44100		Apple Music AAC audio file			1	3/9/2019 11:39 AM	2	4/7/2018 5:38 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\The Very Best of Sting & The Police\04 Every Breath You Take.m4p
Girls, Girls, Girls	Mötley Crüe	Nikki Sixx, Mick Mars, Tommy Lee & Vince Neil	The Greatest Hits (Deluxe Version)						Rock	10187652	270	1	1	8	23	1987	3/7/2019 8:55 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			3	3/9/2019 5:27 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\The Greatest Hits (Deluxe Version)\08 Girls, Girls, Girls.m4p
Seek & Destroy	Metallica		Kill 'Em All (Remastered)						Metal	15393503	414	1	1	9	10	1983	2/28/2019 9:07 PM	1/4/2018 4:36 PM	256	44100		Apple Music AAC audio file			9	3/7/2019 7:49 PM	11	3/8/2019 2:51 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Metallica\Kill 'Em All (Remastered)\09 Seek & Destroy.m4p
Livin' On a Prayer	Bon Jovi	Bon Jovi, Desmond Child & Richie Sambora	The Albums	Slippery When Wet					Rock	9208952	249	3	15	3	10	1986	3/7/2019 8:55 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			2	3/9/2019 2:07 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\The Albums\3-03 Livin' On a Prayer.m4p
Kickstart My Heart	Mötley Crüe & Nikki Sixx	Nikki Sixx, Mick Mars, Tommy Lee & Vince Neil	Dr. Feelgood						Rock	9975722	282	1	1	5	16	1989	3/9/2019 8:55 AM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			2	3/9/2019 4:02 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Mötley Crüe\Dr. Feelgood\05 Kickstart My Heart.m4p
Pour Some Sugar On Me	Def Leppard	Steve Clark, Phil Collen, Joe Elliott, Robert John "Mutt" Lange & Richard Savage	Hysteria						Rock	9381389	267	1	1	5	12	1987	2/28/2019 9:07 PM	4/4/2018 9:32 AM	256	44100		Apple Music AAC audio file			2	3/9/2019 3:31 AM	3	3/8/2019 2:41 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Def Leppard\Hysteria\05 Pour Some Sugar On Me.m4p
One (Remastered)	Metallica		...And Justice for All (Remastered Deluxe Box Set)						Metal	15907289	446	1	8	4	8	1988	2/28/2019 9:07 PM	5/30/2018 6:24 AM	256	44100		Apple Music AAC audio file			5	3/9/2019 8:44 AM	3	3/7/2019 5:09 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Metallica\_..And Justice for All (Remastered Delux\1-04 One (Remastered).m4p
Photograph	Def Leppard	Robert John "Mutt" Lange, Peter Andrew Willis, Steve Clark, Richard Savage & Joe Elliott	Pyromania						Rock	8738311	247	1	1	2	10	1983	2/28/2019 9:07 PM	4/4/2018 9:32 AM	256	44100		Apple Music AAC audio file			2	3/9/2019 3:08 AM	2	4/9/2018 9:47 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Def Leppard\Pyromania\02 Photograph.m4p
The Power of Love	Huey Lewis & The News		Greatest Hits (Remastered)						Rock	8262254	234	1	1	3	21	1985	3/9/2019 8:55 AM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			1	3/9/2019 5:10 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Greatest Hits (Remastered)\03 The Power of Love.m4p
It's the End of the World As We Know It (And I Feel Fine)	R.E.M.	William T. Berry, Peter L. Buck, J. Michael Stipe & Mike Mills	Document						Alternative	9049424	246	1	1	6	11	1987	2/28/2019 9:07 PM	3/24/2018 9:44 AM	256	44100		Apple Music AAC audio file			1	3/9/2019 2:17 AM	5	3/7/2019 5:09 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\R.E.M_\Document\06 It's the End of the World As We K.m4p
Goody Two Shoes	Adam Ant	Marco Pirroni & Stuart Goddard	The Essential Adam Ant						Pop	7431663	209	1	1	10	17	2003	2/28/2019 9:07 PM	5/22/2018 11:23 AM	256	44100		Apple Music AAC audio file			23	3/9/2019 8:52 AM	1			C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Adam Ant\The Essential Adam Ant\10 Goody Two Shoes.m4p
Friday I'm In Love	The Cure	Boris Williams, Porl Thompson, Robert Smith, Simon Gallup, Bamonte & Perry Bamonte	Wish						Pop	7940328	214	1	1	7	12	1992	2/28/2019 9:07 PM	4/4/2018 9:24 AM	256	44100		Apple Music AAC audio file			2	2/26/2019 12:01 PM	8	3/7/2019 4:59 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Cure\Wish\07 Friday I'm In Love.m4p
Blaze of Glory	Bon Jovi	Bon Jovi	Cross Road						Soundtrack	11791519	340	1	1	9	14	1990	3/5/2019 8:55 AM	4/4/2018 9:51 AM	256	44100		Apple Music AAC audio file			4	3/13/2019 4:25 PM	3	4/9/2018 1:59 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Bon Jovi\Cross Road\09 Blaze of Glory.m4p
Shot In the Dark	Ozzy Osbourne	O. Osbourne & P. Soussan	The Ultimate Sin						Metal	9299138	256	1	1	9	9	1986	2/28/2019 9:08 PM	4/4/2018 10:27 AM	256	44100		Apple Music AAC audio file			5	3/10/2019 10:17 PM	3	12/29/2018 3:44 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Ozzy Osbourne\The Ultimate Sin\09 Shot In the Dark.m4p
Mother	Danzig	Glenn Danzig	Danzig						Rock	8010686	205	1	1	6	10	1988	2/28/2019 9:07 PM	4/4/2018 9:22 AM	256	44100		Apple Music AAC audio file			8	3/9/2019 5:53 AM	2	12/29/2018 2:44 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Danzig\Danzig\06 Mother.m4p
Heart and Soul	Huey Lewis & The News		Greatest Hits (Remastered)						Rock	9113585	251	1	1	9	21	1983	3/4/2019 8:55 PM	4/12/2018 2:16 PM	256	44100		Apple Music AAC audio file			4	3/9/2019 11:31 AM	4	3/11/2019 9:32 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Greatest Hits (Remastered)\09 Heart and Soul.m4p
Heart and Soul	T'Pau		T'Pau - Hits						Pop	8956273	256	1	1	2	17	1987	3/9/2019 8:55 AM	4/13/2018 11:50 AM	256	44100		Apple Music AAC audio file			5	3/9/2019 6:39 AM	3	3/11/2019 11:43 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\T'Pau\T'Pau - Hits\02 Heart and Soul.m4p
Wanted Dead Or Alive	Bon Jovi	Bon Jovi & Richie Sambora	The Albums	Slippery When Wet					Rock	11059427	308	3	15	5	10	1986	3/5/2019 8:55 AM	4/4/2018 10:32 AM	256	44100		Apple Music AAC audio file			4	3/9/2019 11:49 AM	6	3/8/2019 8:33 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\The Albums\3-05 Wanted Dead Or Alive.m4p
Don't Change	INXS	INXS, Andrew Farriss, Garry Gary Beers, Gary Beers, Gary Gary Beers, Jon Farriss, Jon Farriss / Tim Farriss / Andrew Farriss / Michael Hutchence / Kirk Pengilly / Gary Beers), Kirk Pengilly, Michael Hutchence, Michael Hutchenson, Tim Fariss & Tim Farriss	Shabooh Shoobah						Rock	9444563	266	1	1	10	10	1982	2/28/2019 9:08 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			1	3/9/2019 12:30 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\INXS\Shabooh Shoobah\10 Don't Change.m4p
Uncontrollable Urge	Devo	Mark Mothersbaugh	Q: Are We Not Men? A: We Are Devo! (Deluxe Version) [Remastered]						New Wave	7313672	189	1	1	1	22	1978	2/28/2019 9:08 PM	5/22/2018 11:29 AM	256	44100		Apple Music AAC audio file			10	3/9/2019 9:08 AM	6	3/11/2019 9:15 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Devo\Q_ Are We Not Men_ A_ We Are Devo! (Delu\01 Uncontrollable Urge.m4p
Renegade	Styx	Tommy Shaw	Greatest Hits						Rock	9112717	254	1	1	8	16	1978	3/9/2019 8:55 AM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			2	3/13/2019 4:14 PM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Greatest Hits\08 Renegade.m4p
Live Wire	Mötley Crüe	Nikki Sixx, Tommy Lee, Vince Neil & Mick Mars	Too Fast for Love						Rock	7182725	194	1	1	1	14	1981	3/9/2019 8:55 AM	3/28/2018 9:08 AM	256	44100		Apple Music AAC audio file			13	3/9/2019 10:35 AM	6	12/29/2018 10:19 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Mötley Crüe\Too Fast for Love\01 Live Wire.m4p
Cliffs of Dover	Eric Johnson		Ah Via Musicom						Rock	9405683	249	1	1	2	11	1990	2/28/2019 9:08 PM	3/24/2018 5:00 AM	256	44100		Apple Music AAC audio file			31	3/9/2019 1:58 AM	4	12/29/2018 12:45 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Eric Johnson\Ah Via Musicom\02 Cliffs of Dover.m4p
Rock the Casbah	The Clash	Joe Strummer, Michael Jones, Paul Simonon & Topper Headon	Combat Rock						Punk	7925064	222	1	1	4	12	1982	2/28/2019 9:08 PM	4/4/2018 9:27 AM	256	44100		Apple Music AAC audio file			8	3/9/2019 4:27 AM	1	12/30/2018 9:44 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Clash\Combat Rock\04 Rock the Casbah.m4p
Rio	Duran Duran	Simon Le Bon, Andy Taylor, John Taylor, Roger Taylor & Nick Rhodes	Rio (Remastered)						Rock	12554469	340	1	1	1	9	1982	2/28/2019 9:08 PM	3/22/2018 9:55 AM	256	44100		Apple Music AAC audio file			13	3/9/2019 3:45 AM	5	9/7/2018 10:26 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Duran Duran\Rio (Remastered)\01 Rio.m4p
Wake Me Up Before You Go-Go	Wham!	George Michael	Make It Big						Pop	8184971	231	1	1	1	8	1984	2/28/2019 9:08 PM	3/23/2018 3:34 AM	256	44100		Apple Music AAC audio file			6	8/22/2018 1:06 PM	7	2/26/2019 11:38 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Wham!\Make It Big\01 Wake Me Up Before You Go-Go.m4p
Election Day (2010 Remastered Version)	Arcadia	Nick Rhodes, Roger Taylor & Simon Le Bon	So Red the Rose						Pop	12046796	329	1	2	1	16	1985	3/9/2019 8:55 AM	4/22/2018 9:33 AM	256	44100		Apple Music AAC audio file			14	3/13/2019 4:20 PM	4	12/28/2018 1:05 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Arcadia\So Red the Rose\1-01 Election Day (2010 Remastered V.m4p
Mongoloid	Devo	Gerald Casale, Mark Mothersbaugh, Gerald V. Casale & M. Mothersbaugh	Q: Are We Not Men? A: We Are Devo! (Deluxe Version) [Remastered]						New Wave	8723696	224	1	1	5	22	1977	3/7/2019 3:22 PM	5/22/2018 10:34 AM	256	44100		Apple Music AAC audio file			5	3/9/2019 4:55 AM	4	3/8/2019 2:51 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Devo\Q_ Are We Not Men_ A_ We Are Devo! (Delu\05 Mongoloid.m4p
Don't You (Forget About Me)	Simple Minds	Steve Schiff & Keith Forsey	Celebrate Greatest Hits						Pop	10050388	260	2	3	1	16	1985	3/7/2019 3:22 PM	6/19/2018 2:59 PM	256	44100		Apple Music AAC audio file			3	3/9/2019 3:36 AM	4	3/13/2019 11:42 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Celebrate Greatest Hits\2-01 Don't You (Forget About Me).m4p
Yankee Rose	David Lee Roth	Lee Roth and Vai	Eat 'Em and Smile						Metal	8199341	234	1	1	1	10	1986	2/28/2019 9:08 PM	7/12/2018 8:54 PM	256	44100		Apple Music AAC audio file			4	3/8/2019 3:10 PM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\David Lee Roth\Eat 'Em and Smile\01 Yankee Rose.m4p
Just a Gigolo / I Ain't Got Nobody	David Lee Roth	Irving Caesar, Spencer Williams, Iriving Caesar, J. Brammer, Leonello Casucci & Roger Graham	Rhino Hi-Five: David Lee Roth - EP						Rock	9902828	278	1	1	2	5	1985	3/7/2019 3:22 PM	7/12/2018 8:54 PM	256	44100		Apple Music AAC audio file			2	3/6/2019 11:32 AM	3	3/7/2019 5:17 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\David Lee Roth\Rhino Hi-Five_ David Lee Roth - EP\02 Just a Gigolo _ I Ain't Got Nobod.m4p
Fade to Grey	Visage	Midge Ure, Christopher John Payne & William Currie	Fade to Grey - The Best of Visage						Electronic	8167189	230	1	1	1	12	1980	3/7/2019 3:22 PM	7/12/2018 8:54 PM	256	44100		Apple Music AAC audio file			2	3/7/2019 7:21 PM	4	3/6/2019 11:32 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Fade to Grey - The Best of Visage\01 Fade to Grey.m4p
The Metro	Berlin	John Crawford	Pleasure Victim						Rock	8869986	251	1	1	5	8	1981	3/1/2019 8:55 AM	7/12/2018 9:55 PM	256	44100		Apple Music AAC audio file			9	3/13/2019 4:33 PM	2	3/11/2019 9:15 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Berlin\Pleasure Victim\05 The Metro.m4p
She Blinded Me With Science	Thomas Dolby	Thomas Dolby & Jo Kerr	The Golden Age of Wireless						Pop	8031931	222	1	1	1	10	1982	3/1/2019 8:55 AM	7/10/2018 7:18 PM	256	44100		Apple Music AAC audio file			6	7/11/2018 9:39 AM	12	3/11/2019 9:32 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Thomas Dolby\The Golden Age of Wireless\01 She Blinded Me With Science.m4p
Electric Avenue	Eddy Grant		Pineapple Express (Original Motion Picture Soundtrack)						Soundtrack	8856374	228	1	1	2	15	1982	3/2/2019 8:28 AM	9/10/2018 1:06 AM	256	44100		Apple Music AAC audio file			6	3/11/2019 4:24 PM	2	3/6/2019 12:36 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Pineapple Express (Original Motion Pictu\02 Electric Avenue.m4p
Unbelievable	Emf	James Atkin, Derry Brownson, Ian Dench, Zak Foley & Mark Decloedt	Cool '90s Hits						Pop	7447708	209	1	1	5	15	1990	3/7/2019 3:22 PM	11/19/2018 5:52 AM	256	44100		Apple Music AAC audio file			5	3/9/2019 6:30 AM	2	3/6/2019 11:36 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Cool '90s Hits\05 Unbelievable.m4p
The Robots (Remastered)	Kraftwerk	TOLHURST LAURENCE ANDREW, Florian Schneider & K. Bartos	The Man Machine (Remastered)						Electronic	13753610	372	1	1	1	6	1978	2/28/2019 9:08 PM	5/24/2018 4:50 PM	256	44100		Apple Music AAC audio file			4	3/9/2019 6:21 AM	6	3/6/2019 11:36 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Kraftwerk\The Man Machine (Remastered)\01 The Robots (Remastered).m4p
The Killing Moon	Echo & The Bunnymen	Ian McCulloch, Les Pattinson, Pete de Freitas & Will Sergeant	Songs to Learn and Sing						Pop	12139602	346	1	1	8	11	1985	2/28/2019 9:09 PM	2/15/2019 11:38 PM	256	44100		Apple Music AAC audio file			3	3/11/2019 3:54 PM	1	3/1/2019 6:37 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Songs to Learn and Sing\08 The Killing Moon.m4p
3 Strange Days	School of Fish		School of Fish						Rock	11221604	312	1	1	2	11	1991	2/28/2019 9:09 PM	2/15/2019 11:43 PM	256	44100		Apple Music AAC audio file			3	3/11/2019 9:31 PM	1	3/6/2019 12:42 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\School of Fish\School of Fish\02 3 Strange Days.m4p
Under the Milky Way	The Church	Karin Jansson & Steve Kilbey	Starfish						Alternative	10940891	297	1	1	2	10	1988	2/28/2019 9:09 PM	2/15/2019 10:43 PM	256	44100		Apple Music AAC audio file			7	3/8/2019 8:21 PM	1	3/1/2019 5:37 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Church\Starfish\02 Under the Milky Way.m4p
Blue Monday	New Order	Bernard Sumner, Gillian Gilbert, Peter Hook & Stephen Morris	iTunes Originals: New Order						Alternative	15259317	446	1	1	7	25	2007	2/28/2019 9:09 PM	2/15/2019 11:49 PM	256	44100		Apple Music AAC audio file			3	3/2/2019 10:03 AM	2	3/10/2019 7:19 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\iTunes Originals_ New Order\07 Blue Monday.m4p
Turn Up the Radio	Autograph	Steve Plunkett, Randy Rand, Steve Isham, Steve Lynch & Keni Richards	Sign In Please						Rock	10661550	278	1	1	2	10	1984	2/28/2019 9:09 PM	1/20/2019 11:56 AM	256	44100		Apple Music AAC audio file			8	3/9/2019 1:25 AM	1	3/11/2019 9:32 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Autograph\Sign In Please\02 Turn Up the Radio.m4p
Computer Love (2009 - Remaster)	Kraftwerk	Florian Schneider & TOLHURST LAURENCE ANDREW	Computer World (Remastered)						Electronic	15621694	439	1	1	5	7	1981	2/28/2019 9:09 PM	5/24/2018 5:50 PM	256	44100		Apple Music AAC audio file			6	3/9/2019 9:28 AM	2	3/11/2019 9:15 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Kraftwerk\Computer World (Remastered)\05 Computer Love (2009 - Remaster).m4p
Sunglasses at Night	Corey Hart	Corey Hart	Stranger Things (Soundtrack from the Netflix Original Series)						Soundtrack	8745278	233	1	1	8	30	1984	3/1/2019 3:10 PM	12/7/2018 5:33 PM	256	44100		Apple Music AAC audio file			15	3/13/2019 4:29 PM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Stranger Things (Soundtrack from the Net\08 Sunglasses at Night.m4p
Rush	Big Audio Dynamite II & Big Audio Dynamite	Mick Jones	The Globe						Pop	9051543	257	1	1	1	10	1991	2/28/2019 9:09 PM	1/20/2019 11:02 AM	256	44100		Apple Music AAC audio file			11	3/9/2019 1:31 AM	3	3/8/2019 10:52 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Big Audio Dynamite II\The Globe\01 Rush.m4p
Just Can't Get Enough	Depeche Mode	Vince Clarke	The Best of Depeche Mode, Vol. 1 (Deluxe Version)						Alternative	7772576	220	1	1	2	23	1981	3/1/2019 3:04 AM	2/15/2019 5:26 PM	256	44100		Apple Music AAC audio file			9	3/9/2019 3:16 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\The Best of Depeche Mode, Vol. 1 (Deluxe\02 Just Can't Get Enough.m4p
Too Shy	Kajagoogoo	Chris Hamill, Jeremy Strode, Nick Beggs, Steve Askew & Stuart Neale	White Feathers						Rock	7868703	221	1	1	2	18	1982	3/1/2019 3:04 AM	2/15/2019 11:25 PM	256	44100		Apple Music AAC audio file			14	3/8/2019 8:37 PM	1	3/11/2019 9:32 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Kajagoogoo\White Feathers\02 Too Shy.m4p
What I Like About You	The Romantics	Wally Palmar, Jimmy Marinos & Michael Skill	The Romantics						Pop	6845173	175	1	1	6	11	1979	2/28/2019 9:09 PM	2/15/2019 11:27 PM	256	44100		Apple Music AAC audio file			6	3/11/2019 3:38 PM	8	3/11/2019 9:15 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Romantics\The Romantics\06 What I Like About You.m4p
True Faith	New Order	Bernard Sumner, Gilbert, Hook, Morris & Stephen Hague	iTunes Originals: New Order						Alternative	12645240	349	1	1	15	25	1987	3/1/2019 3:04 AM	2/15/2019 11:50 PM	256	44100		Apple Music AAC audio file			6	3/9/2019 8:57 AM	2	3/11/2019 11:47 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\iTunes Originals_ New Order\15 True Faith.m4p
Kyrie	Mr. Mister	R. Page, S. George & J. Lang	The Best of Mr. Mister						Pop	9336017	256	1	1	7	12	2001	2/28/2019 9:09 PM	2/15/2019 10:28 PM	256	44100		Apple Music AAC audio file			4	3/7/2019 7:33 PM	3	3/1/2019 1:50 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\The Best of Mr. Mister\07 Kyrie.m4p
Hold Me Now	Thompson Twins	Tom Bailey, Alannah Currie & Joseph Martin Leeway	Platinum & Gold Collection: Thompson Twins						Pop	10799217	286	1	1	6	12	1983	3/1/2019 3:04 AM	2/15/2019 11:30 PM	256	44100		Apple Music AAC audio file			12	3/10/2019 10:24 PM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Platinum & Gold Collection_ Thompson Twi\06 Hold Me Now.m4p
Lips Like Sugar	Echo & The Bunnymen	Ian McCulloch, Les Pattinson, Will Sergeant & De freitas	Echo & the Bunnymen						Rock	10776765	291	1	1	6	18	1987	2/28/2019 9:09 PM	2/15/2019 11:40 PM	256	44100		Apple Music AAC audio file			7	3/9/2019 10:40 AM	2	3/8/2019 3:46 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Echo & The Bunnymen\Echo & the Bunnymen\06 Lips Like Sugar.m4p
Reptile	The Church	Steve Kilbey	Starfish						Alternative	10961490	295	1	1	8	10	1988	2/28/2019 9:09 PM	2/15/2019 10:41 PM	256	44100		Apple Music AAC audio file			13	3/9/2019 1:03 AM	1	3/2/2019 1:07 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Church\Starfish\08 Reptile.m4p
Regret	New Order	B.Sumner, G.Gilbert, P. Hook, S. Hague & S. Morris	Republic						Pop	8796567	250	1	1	1	11	1993	2/28/2019 9:09 PM	2/15/2019 11:51 PM	256	44100		Apple Music AAC audio file			6	3/9/2019 11:23 AM	3	3/1/2019 12:54 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\New Order\Republic\01 Regret.m4p
Love Will Tear Us Apart (2010 Remastered Version)	Joy Division	Bernard Sumner, Ian Curtis, Peter Hook & Stephen Morris	Substance						Rock	7314444	206	1	1	10	19	1980	3/1/2019 3:04 AM	2/26/2019 11:03 PM	256	44100		Apple Music AAC audio file			3	3/9/2019 6:43 AM	2	3/1/2019 3:10 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Substance\10 Love Will Tear Us Apart (2010 Rem.m4p
Whisper to a Scream (Birds Fly) [Single Version]	The Icicle Works	Robert Ian McNabb	Dance Vault Mixes: Whisper to a Scream (Birds Fly) - EP						Dance	8152639	228	1	1	3	3	2006	2/28/2019 9:09 PM	2/15/2019 10:58 PM	256	44100		Apple Music AAC audio file			4	3/9/2019 7:42 AM	2	3/7/2019 5:09 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Icicle Works\Dance Vault Mixes_ Whisper to a Scream (\03 Whisper to a Scream (Birds Fly) [.m4p
Confusion (Remastered) [12" Version]	New Order	Gilbert, Hook, Morris & Sumner	Factory Records: Communications 1978-92						Alternative	10067084	283	1	1	31	63	1983	3/1/2019 3:04 AM	2/15/2019 11:03 PM	256	44100		Apple Music AAC audio file			4	3/9/2019 7:02 AM	1	2/28/2019 3:40 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Factory Records_ Communications 1978-92\31 Confusion (Remastered) [12_ Versi.m4p
Gone Daddy Gone	Violent Femmes	Gordon Gano, Willie Dixon & Willie Dixon	Permanent Record: The Very Best of Violent Femmes						Alternative	6728160	186	1	1	3	17	2005	2/28/2019 9:09 PM	2/20/2019 11:49 AM	256	44100		Apple Music AAC audio file			7	3/11/2019 3:45 PM	3	3/2/2019 12:52 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Permanent Record_ The Very Best of Viole\03 Gone Daddy Gone.m4p
Into the Groove	Madonna	Madonna, S.Bray & Stephen Bray	Celebration (Deluxe Video Edition)						Pop	10108731	285	1	1	8	38	1984	3/1/2019 3:04 AM	2/20/2019 2:49 PM	256	44100		Apple Music AAC audio file			1	3/3/2019 3:04 AM	1	2/28/2019 3:40 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Celebration (Deluxe Video Edition)\08 Into the Groove.m4p
Numbers (2009 - Remaster)	Kraftwerk	Florian Schneider, Karl Bartos & TOLHURST LAURENCE ANDREW	Computer World (Remastered)						Electronic	7213342	200	1	1	3	7	1981	2/28/2019 9:09 PM	2/27/2019 12:05 AM	256	44100		Apple Music AAC audio file			4	3/10/2019 10:12 PM	2	3/2/2019 2:11 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Kraftwerk\Computer World (Remastered)\03 Numbers (2009 - Remaster).m4p
