Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Tom Sawyer	Rush	Geddy Lee, Pye Dubois, Alex Lifeson & Neil Peart	Moving Pictures (Remastered)						Rock	10235233	276	1	1	1	7	1981	2/28/2019 9:04 PM	2/4/2018 12:57 PM	256	44100		Apple Music AAC audio file			25	3/9/2019 7:47 AM	13	3/3/2019 5:53 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Rush\Moving Pictures (Remastered)\01 Tom Sawyer.m4p
Raspberry Beret	Prince & The Revolution	Prince	The Very Best of Prince						R&B/Soul	7551735	215	1	1	8	17	1985	3/1/2019 8:55 AM	3/12/2019 8:59 PM	256	44100		Apple Music AAC audio file			4	3/9/2019 11:27 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\The Very Best of Prince\08 Raspberry Beret.m4p
Hysteria	Def Leppard	Steve Clark, Phil Collen, Joe Elliott, Robert John "Mutt" Lange & Richard Savage	Hysteria						Rock	12641066	354	1	1	10	12	1987	2/28/2019 9:04 PM	4/4/2018 9:32 AM	256	44100		Apple Music AAC audio file			5	3/9/2019 2:13 AM	3	3/3/2019 5:53 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Def Leppard\Hysteria\10 Hysteria.m4p
Africa	Toto	D. Paich & Jeffrey Porcaro	Toto IV						Rock	11091836	295	1	1	10	10	1982	2/28/2019 9:05 PM	3/12/2019 8:59 PM	256	44100		Apple Music AAC audio file			3	3/9/2019 10:20 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Toto\Toto IV\10 Africa.m4p
Dreams	Van Halen	Alex Van Halen, Eddie Van Halen, Michael Anthony & Sammy Hagar	5150						Rock	10232723	293	1	1	4	9	1986	2/28/2019 9:05 PM	3/31/2018 1:09 PM	256	44100		Apple Music AAC audio file			10	3/11/2019 4:16 PM	5	3/8/2019 8:44 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Van Halen\5150\04 Dreams.m4p
Run to the Hills (2015 Remastered Version)	Iron Maiden	Steve Harris	The Number of the Beast (2015 Remastered Edition)						Metal	8904820	233	1	1	6	8	1982	2/28/2019 9:05 PM	4/4/2018 9:29 AM	256	44100		Apple Music AAC audio file			15	3/8/2019 10:38 PM	7	3/3/2019 5:53 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Iron Maiden\The Number of the Beast (2015 Remastered\06 Run to the Hills (2015 Remastered.m4p
Weird Science	Oingo Boingo	Danny Elfman	Dead Man's Party						Alternative	12783965	368	1	1	9	9	1985	2/28/2019 9:05 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			1	3/9/2019 1:42 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Oingo Boingo\Dead Man's Party\09 Weird Science.m4p
Thieves	Ministry	Alien Jourgensen, Barker, Connelly, Jourgensen & Ogilvie	The Mind Is a Terrible Thing to Taste						Rock	11074318	301	1	1	1	9	1989	2/28/2019 9:05 PM	4/4/2018 10:47 AM	256	44100		Apple Music AAC audio file			32	3/9/2019 11:44 AM	4	9/28/2018 4:08 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Ministry\The Mind Is a Terrible Thing to Taste\01 Thieves.m4p
Runnin' Down a Dream	Tom Petty	Tom Petty, Mike Campbell & Jeff Lynne	Greatest Hits						Rock	9236108	263	1	1	13	18	1989	3/7/2019 8:55 PM	3/12/2019 8:59 PM	256	44100		Apple Music AAC audio file			2	3/11/2019 3:35 PM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Greatest Hits\13 Runnin' Down a Dream.m4p
Welcome to the Jungle	Guns N' Roses	Axl Rose, Jeffrey Isbell, Saul Hudson, Duff McKagan & Steven Adler	Appetite for Destruction (Super Deluxe)	Appetite for Destruction					Rock	9872427	273	1	4	1	12	1987	2/28/2019 9:05 PM	3/23/2018 9:14 PM	256	44100		Apple Music AAC audio file			14	3/8/2019 9:26 PM	7	3/11/2019 9:33 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Guns N' Roses\Appetite for Destruction (Super Deluxe)\1-01 Welcome to the Jungle.m4p
